apelido,clube,posicao,preco,pontos,variacao,media,jogos
Cleberson,Juventude,Zagueiro,4.0,0.0,0.0,0.0,0
Luan,Fluminense,Zagueiro,1.0,0.0,0.0,0.0,0
Vitor Mendes,Juventude,Zagueiro,0.97,0.4,-0.03,0.4,1
Rodrigues,Grêmio,Zagueiro,4.0,0.0,0.0,0.0,0
Ruan,Grêmio,Zagueiro,1.95,-0.2,-1.05,-0.2,1
Kelvin,Juventude,Zagueiro,2.0,0.0,0.0,0.0,0
Luiz Felipe,Santos,Zagueiro,4.0,0.0,0.0,0.0,0
Thiago Heleno,Athlético-PR,Zagueiro,9.54,4.7,0.54,4.7,1
Iago Maidana,Sport,Zagueiro,7.0,0.0,0.0,0.0,0
Rafael Thyere,Sport,Zagueiro,3.2,0.6,-0.8,0.6,1
Titi,Fortaleza,Zagueiro,4.32,2.2,0.32,2.2,1
Felipe Siedekum,América-MG,Zagueiro,1.0,0.0,0.0,0.0,0
Júlio,América-MG,Zagueiro,1.0,0.0,0.0,0.0,0
Chico,Sport,Zagueiro,2.0,0.0,0.0,0.0,0
Adryelson,Sport,Zagueiro,6.0,0.0,0.0,0.0,0
Joaquim,Cuiabá,Zagueiro,2.0,0.0,0.0,0.0,0
Sabino,Sport,Zagueiro,4.8,0.9,-1.2,0.9,1
Léo Santos,Corinthians,Zagueiro,2.0,0.0,0.0,0.0,0
Michel,Palmeiras,Zagueiro,1.0,0.0,0.0,0.0,0
Vitor Hugo,Cuiabá,Zagueiro,1.0,0.0,0.0,0.0,0
Henri,Palmeiras,Zagueiro,1.0,0.0,0.0,0.0,0
Everton Sena,Cuiabá,Zagueiro,3.0,0.0,0.0,0.0,0
Gustavo Henrique,Bahia,Zagueiro,2.0,0.0,0.0,0.0,0
Ignácio,Chapecoense,Zagueiro,2.0,0.0,0.0,0.0,0
Alex,Santos,Zagueiro,3.0,0.0,0.0,0.0,0
Micael,Atlético-MG,Zagueiro,2.0,0.0,0.0,0.0,0
Zé Vitor,América-MG,Zagueiro,1.0,0.0,0.0,0.0,0
Rodolfo Moisés,América-MG,Zagueiro,1.0,0.0,0.0,0.0,0
Otávio,Flamengo,Zagueiro,2.0,0.0,0.0,0.0,0
Wellington,Santos,Zagueiro,2.0,0.0,0.0,0.0,0
Derick ,Santos,Zagueiro,2.0,0.0,0.0,0.0,0
Tiago Barbosa,Internacional,Zagueiro,1.0,0.0,0.0,0.0,0
Emanuel,Grêmio,Zagueiro,2.0,0.0,0.0,0.0,0
Luiz Gustavo,Cuiabá,Zagueiro,4.0,0.0,0.0,0.0,0
Heitor,Grêmio,Zagueiro,1.0,0.0,0.0,0.0,0
Pedro Victor,Sport,Zagueiro,1.0,0.0,0.0,0.0,0
Rodrigo Freitas,São Paulo,Zagueiro,3.0,0.0,0.0,0.0,0
Marcelo Benevenuto,Fortaleza,Zagueiro,5.01,1.2,-0.99,1.2,1
