apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Yago,Athlético-PR,Atacante,1.0,0.0,0.0,0.0,1,0
Ferreira,Grêmio,Atacante,11.0,0.0,0.0,0.0,1,0
Lucas Venuto,Santos,Atacante,2.0,0.0,0.0,0.0,1,0
Newton ,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Rodrigo Varanda,Corinthians,Atacante,3.0,0.0,0.0,0.0,1,0
Giovani,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Luan Silva,Palmeiras,Atacante,2.0,0.0,0.0,0.0,1,0
André,Sport,Atacante,10.65,9.3,4.65,9.3,1,1
Ronald,Atlético-GO,Atacante,2.78,3.0,1.78,3.0,1,1
Mateus Lima,Flamengo,Atacante,1.0,0.0,0.0,0.0,1,0
Elias,Grêmio,Atacante,2.0,0.0,0.0,0.0,1,0
Julimar,Athlético-PR,Atacante,1.0,0.0,0.0,0.0,1,0
Kevin,Atlético-GO,Atacante,1.0,0.0,0.0,0.0,1,0
Rigoni,São Paulo,Atacante,5.0,0.0,0.0,0.0,1,0
Gilberto,Bahia,Atacante,4.39,1.3,-0.61,1.3,1,1
Gustavo Coutinho,Fortaleza,Atacante,2.0,0.0,0.0,0.0,1,0
Luiz Fernando,América-MG,Atacante,3.0,0.0,0.0,0.0,1,0
Douglas Costa,Grêmio,Atacante,17.0,0.0,0.0,0.0,1,0
Marino,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Fernando Pacheco,Juventude,Atacante,2.44,-0.5,-1.56,-0.5,1,1
Alan Grafite,Chapecoense,Atacante,3.0,0.0,0.0,0.0,1,0
Deyverson,Palmeiras,Atacante,5.0,0.0,0.0,0.0,1,0
Marcelinho,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Pedro Acácio,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Jenison,Cuiabá,Atacante,1.0,0.0,0.0,0.0,1,0
Wendson,Ceará,Atacante,0.7,0.0,-0.3,0.0,1,1
João Neto,Fluminense,Atacante,1.0,0.0,0.0,0.0,1,0
Matheus Martins,Fluminense,Atacante,1.0,0.0,0.0,0.0,1,0
Lázaro,Flamengo,Atacante,2.0,0.0,0.0,0.0,1,0
Alexandre Jesus,Fluminense,Atacante,1.0,0.0,0.0,0.0,1,0
Felipe Marques,Cuiabá,Atacante,2.09,0.0,-0.91,0.0,1,1
Luiz Henrique,Fluminense,Atacante,4.11,0.9,-0.89,0.9,1,1
Lucão,Atlético-GO,Atacante,0.7,-1.1,-1.3,-1.1,1,1
Kaio Jorge,Santos,Atacante,5.43,0.8,-1.57,0.8,1,1
Vitinho,América-MG,Atacante,1.0,0.0,0.0,0.0,1,0
Marcelo Ryan ,Bahia,Atacante,2.0,0.0,0.0,0.0,1,0
Bruno Marques,Santos,Atacante,4.0,0.0,0.0,0.0,1,0
Ângelo,Santos,Atacante,1.95,-0.2,-1.05,-0.2,1,1
Marcos Leonardo,Santos,Atacante,3.48,0.0,-1.52,0.0,1,1
Hernane,Sport,Atacante,5.0,0.0,0.0,0.0,1,0
Neilton,Sport,Atacante,6.0,0.0,0.0,0.0,1,0
Gilberto,Bahia,Atacante,13.28,22.8,8.89,12.05,2,2
Zé Roberto,Atlético-GO,Atacante,11.24,1.9,0.45,5.7,2,2
Eduardo Sasha,Atlético-MG,Atacante,7.0,0.0,0.0,0.0,2,0
Hulk,Atlético-MG,Atacante,21.19,11.7,3.51,12.05,2,2
Rossi,Bahia,Atacante,11.54,0.1,-0.71,4.85,2,2
Vargas,Atlético-MG,Atacante,6.82,0.0,0.0,0.8,2,1
Clayson,Cuiabá,Atacante,6.92,0.1,-0.46,2.85,2,2
Bruno Henrique,Flamengo,Atacante,18.52,0.0,0.0,10.6,2,1
Perotti,Chapecoense,Atacante,6.2,0.0,0.0,2.9,2,1
Gabriel,Flamengo,Atacante,22.0,0.0,0.0,0.0,2,0
Vitinho,Flamengo,Atacante,5.01,0.0,0.0,0.2,2,1
Artur,Bragantino,Atacante,13.8,18.1,6.14,10.05,2,2
Helinho,Bragantino,Atacante,13.92,0.0,0.0,15.0,2,1
Ferreira,Grêmio,Atacante,11.0,0.0,0.0,0.0,2,0
Léo Passos,América-MG,Atacante,4.0,0.0,0.0,0.0,2,0
Felipe Azevedo,América-MG,Atacante,6.42,1.0,0.08,3.05,2,2
Fred,Fluminense,Atacante,8.66,0.2,-3.34,0.2,2,1
Ademir,América-MG,Atacante,5.99,2.2,-0.28,2.1,2,2
David,Fortaleza,Atacante,9.0,3.2,0.44,4.25,2,2
Wellington Paulista,Fortaleza,Atacante,6.61,8.7,2.02,3.65,2,2
Victor Jacaré,Ceará,Atacante,3.0,0.0,0.0,0.0,2,0
Marcelo Toscano,América-MG,Atacante,4.0,0.0,0.0,0.0,2,0
Yony González,Ceará,Atacante,2.37,0.0,0.0,-1.6,2,1
Diego Souza,Grêmio,Atacante,19.0,0.0,0.0,0.0,2,0
Lohan ,América-MG,Atacante,1.0,0.0,0.0,0.0,2,0
