apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Laércio,Chapecoense,Zagueiro,4.17,1.0,-0.42,1.3,2,2
Luan Patrick,Athlético-PR,Zagueiro,2.0,0.0,0.0,0.0,2,0
Lucas Halter,Athlético-PR,Zagueiro,4.0,0.0,0.0,0.0,2,0
Aguilar,Athlético-PR,Zagueiro,4.0,0.0,0.0,0.0,2,0
Éder ,Atlético-GO,Zagueiro,10.87,12.3,4.88,8.45,2,2
Luan Peres ,Santos,Zagueiro,4.14,-2.0,-2.33,-0.35,2,2
Nathan Silva,Atlético-GO,Zagueiro,6.84,4.8,1.83,4.5,2,2
Gustavo Gómez,Palmeiras,Zagueiro,12.67,0.0,0.0,1.2,2,1
Réver,Atlético-MG,Zagueiro,8.37,6.2,0.37,6.2,2,1
Oliveira,Atlético-GO,Zagueiro,4.0,0.0,0.0,0.0,2,0
Michel,Atlético-GO,Zagueiro,1.0,0.0,0.0,0.0,2,0
Bueno,Atlético-MG,Zagueiro,3.0,0.0,0.0,0.0,2,0
Luiz Otávio ,Bahia,Zagueiro,3.79,0.5,-1.21,0.5,2,1
Fabrício Bruno,Bragantino,Zagueiro,12.32,0.0,0.0,13.7,2,1
Lucas Fonseca,Bahia,Zagueiro,6.0,0.0,0.0,0.0,2,0
Juninho,Bahia,Zagueiro,12.81,0.0,0.0,13.4,2,1
Júnior Alonso,Atlético-MG,Zagueiro,8.77,0.0,0.0,0.6,2,1
Gabriel,Atlético-MG,Zagueiro,6.43,5.0,0.43,5.0,2,1
Realpe,Bragantino,Zagueiro,3.0,0.0,0.0,0.0,2,0
Natan,Bragantino,Zagueiro,6.94,1.0,-0.37,2.75,2,2
Klaus,Ceará,Zagueiro,4.0,0.0,0.0,0.0,2,0
Walce,São Paulo,Zagueiro,3.0,0.0,0.0,0.0,2,0
Jordan,Ceará,Zagueiro,0.71,-0.6,-0.29,-0.6,2,1
Arboleda,São Paulo,Zagueiro,9.0,0.0,0.0,0.0,2,0
Haydar,Bragantino,Zagueiro,2.0,0.0,0.0,0.0,2,0
Conti,Bahia,Zagueiro,7.18,1.2,-0.27,2.95,2,2
Messias,Ceará,Zagueiro,0.71,-1.7,-1.45,-2.3,2,2
Alan,Ceará,Zagueiro,2.0,0.0,0.0,0.0,2,0
Bruno Alves,São Paulo,Zagueiro,9.35,0.6,-1.02,3.25,2,2
Miranda,São Paulo,Zagueiro,10.89,2.6,0.17,5.0,2,2
Diego,São Paulo,Zagueiro,4.0,0.0,0.0,0.0,2,0
Gabriel Lacerda,Ceará,Zagueiro,1.69,-3.5,-1.65,-0.35,2,2
Gustavo Henrique,Flamengo,Zagueiro,5.0,0.0,0.0,0.0,2,0
Ligger,Bragantino,Zagueiro,6.0,0.0,0.0,0.0,2,0
Bruno Viana,Flamengo,Zagueiro,5.0,0.0,0.0,0.0,2,0
Felipe Santana,Chapecoense,Zagueiro,4.0,0.0,0.0,0.0,2,0
João Cesco,Chapecoense,Zagueiro,1.0,0.0,0.0,0.0,2,0
Tiago Coser,Chapecoense,Zagueiro,1.0,0.0,0.0,0.0,2,0
Danilo Avelar,Corinthians,Zagueiro,5.0,0.0,0.0,0.0,2,0
Gabriel Noga,Flamengo,Zagueiro,2.0,0.0,0.0,0.0,2,0
Matheus Ferraz,Fluminense,Zagueiro,5.0,0.0,0.0,0.0,2,0
Manoel,Fluminense,Zagueiro,6.73,5.7,0.73,5.7,2,1
David Braz,Fluminense,Zagueiro,5.0,0.0,0.0,0.0,2,0
Willian Arão,Flamengo,Zagueiro,11.07,0.0,0.0,6.9,2,1
Kadu,Chapecoense,Zagueiro,3.0,0.0,0.0,0.0,2,0
Léo Pereira,Flamengo,Zagueiro,4.0,0.0,0.0,0.0,2,0
Lucas Ribeiro,Internacional,Zagueiro,0.7,0.0,0.0,-4.3,2,1
Joílson,Chapecoense,Zagueiro,3.0,0.0,0.0,0.0,2,0
