apelido,clube,posicao,preco,pontos,variacao,media,jogos
Denner,Athlético-PR,Meia,1.0,0.0,0.0,0.0,0
Neto,Atlético-MG,Meia,1.0,0.0,0.0,0.0,0
Thiago Lopes,Sport,Meia,5.0,0.0,0.0,0.0,0
Jaderson,Athlético-PR,Meia,2.0,0.0,0.0,0.0,0
Ramon César,Palmeiras,Meia,1.0,0.0,0.0,0.0,0
Rentería,Sport,Meia,3.0,0.0,0.0,0.0,0
Kawan,Athlético-PR,Meia,1.0,0.0,0.0,0.0,0
Luis Mandaca,Corinthians,Meia,2.0,0.0,0.0,0.0,0
Fabinho,Palmeiras,Meia,1.0,0.0,0.0,0.0,0
Edwin Mosquera,Juventude,Meia,3.0,0.0,0.0,0.0,0
Terans,Athlético-PR,Meia,6.82,4.8,1.82,4.8,1
Pedro Bicalho,Palmeiras,Meia,1.0,0.0,0.0,0.0,0
Gustavo Mantuan,Corinthians,Meia,2.0,0.0,0.0,0.0,0
Ruan,Corinthians,Meia,1.0,0.0,0.0,0.0,0
Bruninho,Juventude,Meia,4.0,0.0,0.0,0.0,0
Gustavo Oliveira,Sport,Meia,5.92,6.5,3.92,6.5,1
Jhonata Robert,Grêmio,Meia,0.7,-5.1,-1.3,-5.1,1
Felipe,Fortaleza,Meia,5.22,2.5,0.22,2.5,1
Adson,Corinthians,Meia,1.67,0.4,-0.33,0.4,1
Victor Bobsin,Grêmio,Meia,1.0,0.0,0.0,0.0,0
Murilo Rangel,Cuiabá,Meia,2.0,0.0,0.0,0.0,0
Rodrigues,Atlético-GO,Meia,1.0,0.0,0.0,0.0,0
Alvarado,Athlético-PR,Meia,3.0,0.0,0.0,0.0,0
Shaylon,São Paulo,Meia,4.11,1.9,0.11,1.9,1
Jobson,Santos,Meia,6.0,0.0,0.0,0.0,0
Rafael Longuine,Santos,Meia,2.0,0.0,0.0,0.0,0
Geovane,Athlético-PR,Meia,1.0,0.0,0.0,0.0,0
Lucas Lourenço,Santos,Meia,2.0,0.0,0.0,0.0,0
Guilherme Nunes,Santos,Meia,3.0,0.0,0.0,0.0,0
Sandry,Santos,Meia,5.0,0.0,0.0,0.0,0
Daniel Cabral,Flamengo,Meia,1.0,0.0,0.0,0.0,0
Ivonei,Santos,Meia,3.0,0.0,0.0,0.0,0
Gabriel Pirani,Santos,Meia,3.13,0.5,-0.87,0.5,1
Vinícius Balieiro,Santos,Meia,4.0,0.0,0.0,0.0,0
Max,Flamengo,Meia,2.0,0.0,0.0,0.0,0
Pablo Pardal,Sport,Meia,2.0,0.0,0.0,0.0,0
Fernando Henrique,Grêmio,Meia,1.0,0.0,0.0,0.0,0
Caio Cunha,Palmeiras,Meia,1.0,0.0,0.0,0.0,0
Ricardinho,Sport,Meia,3.34,1.8,0.34,1.8,1
Luiz Henrique,Fortaleza,Meia,3.0,0.0,0.0,0.0,0
