apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Boschilia,Internacional,Meia,9.0,0.0,0.0,0.0,1,0
Patrick de Paula,Palmeiras,Meia,4.59,-0.4,-2.41,-0.4,1,1
Gabriel Menino,Palmeiras,Meia,12.95,7.6,1.95,7.6,1,1
Rafael Gava,Cuiabá,Meia,3.76,1.4,-0.24,1.4,1,1
Danilo,Palmeiras,Meia,5.85,1.4,-1.15,1.4,1,1
Jean Pyerre,Grêmio,Meia,6.96,1.0,-2.04,1.0,1,1
Patrick,Grêmio,Meia,3.0,0.0,0.0,0.0,1,0
Matheus Henrique,Grêmio,Meia,10.37,6.9,2.37,6.9,1,1
Camilo,Cuiabá,Meia,4.39,3.3,1.39,3.3,1,1
Uillian Correia,Cuiabá,Meia,4.0,0.0,0.0,0.0,1,0
Pinares,Grêmio,Meia,5.0,0.0,0.0,0.0,1,0
Auremir,Cuiabá,Meia,4.0,0.0,0.0,0.0,1,0
Rodrigo Dourado,Internacional,Meia,7.0,0.0,0.0,0.0,1,0
Darlan,Grêmio,Meia,4.0,0.0,0.0,0.0,1,0
Rodrigo Lindoso,Internacional,Meia,9.61,8.8,4.61,8.8,1,1
Rodriguinho,Bahia,Meia,5.92,-1.5,-4.08,-1.5,1,1
Marlon Freitas,Atlético-GO,Meia,4.18,0.0,-1.82,0.0,1,1
Thaciano,Bahia,Meia,16.71,18.0,10.71,18.0,1,1
Nacho Fernández,Atlético-MG,Meia,14.9,0.4,-6.1,0.4,1,1
Everton,Grêmio,Meia,5.0,0.0,0.0,0.0,1,0
Ramiro,Corinthians,Meia,3.41,-1.1,-2.59,-1.1,1,1
Pedro Lucas,Grêmio,Meia,2.0,0.0,0.0,0.0,1,0
Matheus Vargas,Fortaleza,Meia,6.82,4.8,1.82,4.8,1,1
Claudinho,Bragantino,Meia,14.69,3.1,-3.31,3.1,1,1
Thiago Santos,Grêmio,Meia,2.37,-1.6,-2.63,-1.6,1,1
Óscar Ruíz,Bahia,Meia,7.0,0.0,0.0,0.0,1,0
Raul,Bragantino,Meia,5.0,0.0,0.0,0.0,1,0
Matheus Jussa,Fortaleza,Meia,2.72,-0.1,-1.28,-0.1,1,1
Lucas Crispim,Fortaleza,Meia,2.16,1.1,0.16,1.1,1,1
Mateus Vital,Corinthians,Meia,6.13,0.8,-1.87,0.8,1,1
Lucas Silva,Grêmio,Meia,3.62,0.2,-1.38,0.2,1,1
Alisson,Grêmio,Meia,7.0,0.0,0.0,0.0,1,0
Luan,Corinthians,Meia,3.9,-0.4,-2.1,-0.4,1,1
Guilherme Castilho,Juventude,Meia,4.66,3.7,1.66,3.7,1,1
Nenê,Fluminense,Meia,5.43,-4.2,-6.57,-4.2,1,1
Gabriel Teixeira,Fluminense,Meia,4.39,3.3,1.39,3.3,1,1
Arrascaeta,Flamengo,Meia,13.85,4.9,-1.15,4.9,1,1
Matheus Jesus,Juventude,Meia,5.0,0.0,0.0,0.0,1,0
Felipe,Fortaleza,Meia,5.22,2.5,0.22,2.5,1,1
Vina,Ceará,Meia,18.0,0.0,0.0,0.0,1,0
Cazares,Fluminense,Meia,6.2,-0.1,-2.8,-0.1,1,1
Pablo Pardal,Sport,Meia,2.0,0.0,0.0,0.0,1,0
João Paulo,Juventude,Meia,6.27,4.0,1.27,4.0,1,1
Wescley,Juventude,Meia,8.08,8.6,5.08,8.6,1,1
Gustavo Blanco,Fortaleza,Meia,4.0,0.0,0.0,0.0,1,0
Luiz Henrique,Fortaleza,Meia,3.0,0.0,0.0,0.0,1,0
Éderson,Fortaleza,Meia,6.96,5.0,1.96,5.0,1,1
Rikelme,Cuiabá,Meia,2.0,0.0,0.0,0.0,1,0
Elton,Juventude,Meia,2.78,0.0,-1.22,0.0,1,1
Renan Bressan,Juventude,Meia,4.0,0.0,0.0,0.0,1,0
Matheuzinho,Juventude,Meia,5.0,0.0,0.0,0.0,1,0
Alison,Santos,Meia,3.9,0.6,-1.1,0.6,1,1
Yago,Juventude,Meia,1.0,0.0,0.0,0.0,1,0
Kelvi,Juventude,Meia,1.0,0.0,0.0,0.0,1,0
Jean Mota,Santos,Meia,6.4,4.2,1.4,4.2,1,1
Everton Ribeiro,Flamengo,Meia,8.35,0.0,-3.65,0.0,1,1
Lucas Araújo,Bahia,Meia,1.39,0.0,-0.61,0.0,1,1
Mariano Vázquez,Fortaleza,Meia,3.0,0.0,0.0,0.0,1,0
Carlos Sánchez,Santos,Meia,10.0,0.0,0.0,0.0,1,0
Ronald,Fortaleza,Meia,3.0,0.0,0.0,0.0,1,0
Diego,Flamengo,Meia,6.27,1.0,-1.73,1.0,1,1
Bruno Leite,Athlético-PR,Meia,3.0,0.0,0.0,0.0,1,0
Gerson,Flamengo,Meia,10.3,2.8,-1.7,2.8,1,1
João Igor,Sport,Meia,2.0,0.0,0.0,0.0,1,0
Rentería,Sport,Meia,3.0,0.0,0.0,0.0,1,0
Thiago Lopes,Sport,Meia,5.0,0.0,0.0,0.0,1,0
Rafael Longuine,Santos,Meia,2.0,0.0,0.0,0.0,1,0
Gabriel Pereira,Corinthians,Meia,3.0,0.0,0.0,0.0,1,0
Lucas Lourenço,Santos,Meia,2.0,0.0,0.0,0.0,1,0
Jobson,Santos,Meia,6.0,0.0,0.0,0.0,1,0
José Welison,Sport,Meia,2.78,0.0,-1.22,0.0,1,1
Kawan,Athlético-PR,Meia,1.0,0.0,0.0,0.0,1,0
Pepê,Cuiabá,Meia,6.82,4.8,1.82,4.8,1,1
Gustavo Mantuan,Corinthians,Meia,2.0,0.0,0.0,0.0,1,0
Pedro Bicalho,Palmeiras,Meia,1.0,0.0,0.0,0.0,1,0
Neto,Atlético-MG,Meia,1.0,0.0,0.0,0.0,1,0
